letter,perimeter,area,holes,euler_number,compactness,aspect_ratio,convex_ratio,symmetry_horizontal,symmetry_vertical
C,0.25614970006446847,0.2588614063777594,0,0,0.26154706181964144,0.4270696978601769,0.051109577212830444,0,0
E,0.38886549287430094,0.3654282502044158,0,0,0.42315340098876286,0.42572898072663345,0.30341518707679016,0,0
F,0.19443173768507876,0.17329824202779961,0,0,0.2310683602854733,0.42572898072663345,0.3321851140139576,0,0
G,0.5175461178292328,0.5085343417825049,0,0,0.5317633094766263,0.4270696978601769,0.6754248719833734,0,0
H,0.4037902693575312,0.40643908421913405,0,0,0.40641251747450496,0.4270696978601769,0.4116172500447641,0,0
I,0.031865119389766335,0.03052943581357342,0,0,0.04790508450530441,0.19644097454118026,0.21930551337461596,0,0
J,0.01250242177756204,0.023640637775960097,0,0,0.013203243058879007,0.0,0.8919781208585661,0,0
K,0.3873894208655596,0.4002504088307438,0,0,0.37845089394953907,0.5023274917853231,0.19468539073452415,0,0
L,0.0,0.011958299264104221,0,0,0.0,0.42572898072663345,0.1946740116227774,0,0
M,1.0,0.996780457890433,0,0,1.0,1.0,0.14791660456383077,0,0
N,0.43886912760455626,0.6352463205233045,0,0,0.2500611742799345,0.42572898072663345,1.0,0,0
S,0.44302625906066917,0.5088000817661475,0,0,0.37562147469446117,0.4270696978601769,0.6853148935295598,0,0
T,0.0004007357699330287,0.0,0,0,0.01622087334628541,0.4294973686319558,0.15737716947341557,0,0
U,0.40379026935753176,0.40643908421913255,0,0,0.4064125174745078,0.4270696978601769,0.41161725004476035,0,0
V,0.30881193727198325,0.4307542927228128,0,0,0.1873977819496022,0.5533085779926802,0.9917048779293693,0,0
W,0.9983864418656496,1.0,0,0,0.9930592714339482,1.0,0.1526854144660583,0,0
X,0.39686980353691237,0.5652596075224854,0,0,0.23252425650803743,0.6771197873534047,0.1268951522364489,0,0
Y,0.44332244364911294,0.43325838103025277,0,0,0.4602042281492376,0.4270696978601769,0.48848432205215153,0,0
Z,0.22213026525771976,0.2376073180703185,0,0,0.2130279022915622,0.4270696978601769,0.0,0,0
